Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2017,"6         ",Male,11,Right-Handed,152,24,147,3,Bus,15,0.363,36,Basketball,,,,,,,23.5,"Right foot",800,900,"Ring finger",July,Summer,Yes,No,"No favorite",Water,Languages,8,9,4,"Yes - broadband connection","In person",20,70,15,1,15,6,6,5,4,1,7,5,0,0,Some,"Graduate degree","Rap/Hip hop",Fly,Rich,"Sports person","Education/Youth development"
USA,NY,2014,"6         ",Female,12,Right-Handed,162,24,155,2,Bus,20,1.048,45,Other,500,300,700,800,500,500,25,"Left foot",7,6,"Index finger",May,Summer,No,Yes,Other,Water,Languages,8,10,4,"Yes - broadband connection","Text messaging",30,10,4,1,5,12,12,7,3,3,4,2,0,2,,,,,,,
USA,NY,2013,"8         ",Male,13,Right-Handed,160,,,2,Bicycle,20,0.358,39,Soccer,400,400,600,650,700,800,,,,,,November,Winter,No,No,Pizza/Pasta,"Sports drink","Computers and technology",6,8,4,"Yes - broadband connection","Internet chat or instant messaging",5,10,12,1,6,3.5,7,3,1,1,7,1,7,2,Some,"Graduate degree","Rap/Hip hop","Freeze time",Healthy,Other,Health
USA,NY,2022,"12        ",Male,17,Right-Handed,186.5,28,189,1,Walk,15,.454,64,Other,800,600,700,800,1000,1000,29,"Same length",90,90,"Same length",February,Fall,Yes,No,,Other,Geography,7,11,5,"Yes - broadband connection","In person",30,30,12,1,7,1,3,15,10,2,3,0,0,1,Some,"Graduate degree","Rap/Hip hop","Freeze time",Happy,Relative,"International aid"
USA,NY,2016,"12        ",Female,17,Right-Handed,162,24,161,2,"Rail (Train/Tram/Subway)",40,.645,38,Other,600,600,600,700,1000,1000,23,"Right foot",83,90,"Ring finger",July,Summer,No,No,Meat,Water,"Mathematics and statistics",6,12,3,"Yes - broadband connection","Text messaging",63,70,56,0,6,20,10,5,8,4,50,45,0,3,None,"Graduate degree",Pop,Invisibility,Rich,Actor,Health
USA,NY,2024,"12        ",Male,17,Right-Handed,167,25,170,2,"Rail (Train/Tram/Subway)",60,0.339,58,Tennis,674,717,467,635,874,901,25,"Same length",65,71,"Ring finger",July,Winter,No,No,Pizza/Pasta,Water,Art,4.5,12,5,"Yes - broadband connection","In person",0,1,1,0,8,4,0,20,2,0.75,28,0,0,3.5,"A lot","High school",Pop,Invisibility,Rich,Friend,Health
USA,NY,2023,"12        ",Male,17,Right-Handed,170,26,178,2,"Rail (Train/Tram/Subway)","40 mi",0.219,44,Other,1000,,1000,1000,1000,1000,26,"Same length",79,84,"Index finger",July,Fall,No,No,Poultry,Water,"Mathematics and statistics",7,9,3,"Yes - other","Myspace, Facebook, other social networking sites, or blog",100,100,10,10,10,10,10,10,10,10,10,10,10,10,"A lot","Graduate degree","Rap/Hip hop","Super strength",Healthy,"Coach or club leader",Other
USA,NY,2023,"10        ",Male,15,Right-Handed,,,,2,"Rail (Train/Tram/Subway)",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2024,"11        ",Female,17,Right-Handed,172.7,25,185,3,"Rail (Train/Tram/Subway)",74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2022,"12        ",Male,17,Right-Handed,177,28,179,2,"Rail (Train/Tram/Subway)",45,.305,"47 ",Baseball/Softball,500,400,600,800,400,1000,28,"Same length",100,103,"Ring finger",July,Fall,No,No,Meat,Water,English,7,8,5,"Yes - broadband connection","In person",40,40,5,3,4,10,8,11,6,2,5,7,5,0,Some,"Undergraduate degree","Rock and roll","Freeze time",Healthy,Relative,"Arts, culture, sports"
USA,NY,2017,"12        ",Female,17,Ambidextrous,,,,1,Car,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2016,"12        ",Male,16,Left-Handed,171,27,183,2,"Rail (Train/Tram/Subway)",60,0.587,50,Cycling,615,524,530,652,900,880,27,"Same length",100,106,"Ring finger",December,Spring,Yes,No,Desserts,Water,"Mathematics and statistics",5,11,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",5,6,9,2,11,2,4,0,8,28,70,10,7,1,Some,"Graduate degree",Pop,Invisibility,Happy,Friend,Environment
USA,NY,2023,"12        ",Male,18,Left-Handed,163,25,172,1,"Rail (Train/Tram/Subway)",45,0.306,36,None,396,460,508,128,187,626,25,"Same length",75,73,"Index finger",July,Fall,No,No,Pizza/Pasta,Water,Science,6-8,10-12,4,"Yes - other","Text messaging",100,150,24,60,5-6,1-3,0,20,0,70,20-50,1-2,0,1,"Very little","Some college",Techno/Electronic,"Freeze time",Rich,Friend,Other
USA,NY,2022,"12        ",Male,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2020,"12        ",Female,17,Right-Handed,149.9,21.59,152.4,1,Car,7," 0.33",33,Bowling,500,500,600,700,700,800,21.59,"Same length",63.5,66.04,"Ring finger",July,Fall,Yes,No,"Rice/Noodle dishes",Water,"Mathematics and statistics",8,10,4,"Yes - broadband connection","Text messaging",14,19,7,3,1,5,2,1,5,1,5,7,0,3,Some,"Graduate degree",Pop,Fly,Healthy,Relative,Health
USA,NY,2021,"12        ",Female,18,Right-Handed,175,27.5,63,2,Car,26,.33,34,Athletics,936,856,701,759,1000,893,27.2,"Right foot",78,83,"Ring finger",February,Fall,Yes,No,"Rice/Noodle dishes",Water,"Computers and technology",9,8,4,"Yes - broadband connection","Text messaging",60,170,,,5,5,5,5,5,5,5,5,,,Some,"Undergraduate degree",Other,Fly,Happy,"Sports person","International aid"
USA,NY,2019,"9         ",Male,14,Right-Handed,163,25,169,2,"Rail (Train/Tram/Subway)",16,0.164,47,Basketball,481,481,481,481,481,481,25,"Same length",7,6,"Index finger",September,Summer,No,No,,Juice,"Physical education",8,3,4,"Yes - broadband connection","Internet chat or instant messaging",idk,idk,11,0,5,8,14,10,14,10,10,10,10,14,Some,"Graduate degree","Rap/Hip hop","Super strength",Rich,Other,Health
USA,NY,2023,"12        ",Male,18,Right-Handed,,,,3,"Rail (Train/Tram/Subway)",25,0.376,40,Other,1000,1000,1000,1000,900,900,,,,,,February,Fall,No,No,"No favorite",Water,"Computers and technology",6,10,3,"Yes - other","In person",20,20,1,1,3,1,1,3,3,1,3,0,0,0,"A lot","Graduate degree","Rhythm and blues (R&B)","Freeze time",Happy,Relative,Environment
USA,NY,2023,"12        ",Female,16,Right-Handed,167,,,1,"Rail (Train/Tram/Subway)",55,0.488,48,Skateboarding/Rollerblading,1000,1000,1000,1000,50,100,,"Same length",6.9,7.1,"Ring finger",June,Spring,Yes,No,Meat,Juice,History,8,11,7,"Yes - broadband connection","Text messaging",100,100,3,6,12,42,2,2,42,42,42,7,0,40,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,"Musician or singer","Education/Youth development"
USA,NY,2019,"9         ",Female,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2012,"6         ",Male,11,Right-Handed,163,28,163,2,Bus,50,.31,32,"Football (American)",999,999,999,400,1,1000,28,"Same length",80,80,"Same length",April,Fall,Yes,No,Seafood,Water,"Mathematics and statistics",8,11,6,"Yes - other","Myspace, Facebook, other social networking sites, or blog",100,100,9,0,1,3,,,,,,,,,,,,,,,
USA,NY,2023,"10        ",Male,16,Right-Handed,5'9,1,2,2,"Rail (Train/Tram/Subway)",45,43,21,Soccer,1,24,5,5,5,4,24,"Right foot",14,1,"Ring finger",April,Spring,No,No,Meat,Water,"Physical education",6,18,34,"No internet connection","In person",23,12,5,2,5,5,6,4,1,3,4,1,2,3,Some,"Some college",Classical,Invisibility,,Relative,"Arts, culture, sports"
USA,NY,2020,"12        ",Male,19,Right-Handed,181,42,102,2,Car,10,0.198,32,Bowling,775,487,1000,711,1000,911,42,"Same length",,,"Index finger",April,Fall,No,No,"Rice/Noodle dishes",Water,Music,11.30,7,3,"Yes - dial-up connection","Internet chat or instant messaging",0,0,2,1,2,1,0,3,2,4,5,0,2,1,"Very little","Less than high school",Country,"Freeze time",Rich,Friend,Health
USA,NY,2020,"6         ",Female,12,Right-Handed,152.4,21,56,1,Walk,6,0.293,38,Swimming,396,358,545,439,856,877,22,"Left foot",65,65,"Same length",May,Summer,Yes,No,Pizza/Pasta,Water,Science,8,11,3,"Yes - other","Text messaging",102,292,8,17,10,7,3,3,27,26,26,18,0,1,Some,"Graduate degree","Rap/Hip hop",Invisibility,Happy,Actor,Health
USA,NY,2013,"12        ",Male,17,Right-Handed,167,24,171,2,"Rail (Train/Tram/Subway)",35,0.516,,"Martial Arts",674,508,754,642,1000,1000,24,"Same length",90,95,"Ring finger",September,Fall,No,Yes,Pizza/Pasta,Coffee,"Mathematics and statistics",4,7,3,"Yes - broadband connection","In person",3,5,7,0,20,5,3,1,7,2,20,2,0,5,"A lot","Graduate degree","Rock and roll","Freeze time",Happy,Other,"International aid"
USA,NY,2014,"12        ",Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2024,"12        ",Male,17,Right-Handed,183,28,183,3,Car,4,.274,53,Swimming,1000,700,700,700,500,800,25,"Right foot",83,76,"Index finger",January,Summer,No,No,Seafood,Water,Science,8,8,3,"Yes - broadband connection","In person",3,5,5,.5,10,5,15,0,5,1,7,0,0,3,"A lot","Graduate degree","Rock and roll",Fly,Happy,"Sports person",Health
USA,NY,2020,"6         ",Male,12,Right-Handed,157,28,152,1,Bus,15,0.457,68,Other,500,750,250,900,750,1000,28,"Same length",50,60,"Ring finger",December,Spring,Yes,No,Seafood,Water,"Mathematics and statistics",8,11,7,"Yes - broadband connection","Cell phone",12,12,12,22,20,48,45,28,20,2,30,15,0,20,Some,Other,Country,Telepathy,Happy,Other,Other
USA,NY,2024,"12        ",Female,17,Right-Handed,165,22,160,5,Car,20,0.69,30,Baseball/Softball,,,,,,,22,"Same length",6.9,7.8,"Ring finger",June,Summer,No,No,Meat,Water,Science,7,8,4,"Yes - broadband connection","Cell phone",70,15,2,60,4,10,3,0,15,4,60,4,30,15,Some,"Graduate degree",Country,Fly,Happy,"Religious figure",Religious
